
Transactions
User,Satoshi Nakamoto,fake-uuid-1234
ID,Timestamp,Transaction Type,Asset,Quantity Transacted,Price Currency,Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes,Sender Address,Recipient Address
tx001,2024-06-15 10:00:00 UTC,Buy,BTC,1,EUR,€100.00,€100.00,€100.00,€0.00,Bought 1 BTC for 100 EUR,,
tx002,2024-06-15 10:30:00 UTC,Deposit,EUR,500,EUR,€1.00,€500.00,€500.00,€0.00,Deposit from bank,,
tx003,2024-07-01 12:00:00 UTC,Staking Income,ADA,0.5,EUR,€0.4000000000000000,€0.20000,€0.20000,€0.00,,,
tx004,2024-07-15 14:00:00 UTC,Buy,ETH,2,EUR,€2000.0000000000000000,€4000.00,€4000.00,€0.00,Bought 2 ETH for 4000 EUR,,
tx005,2024-08-01 09:00:00 UTC,Convert,BTC,-0.5,EUR,€50000.0000000000000000,€25000.00,€25000.00,€0.00,Converted 0.5 BTC to 10 ETH,,
tx006,2024-08-15 16:00:00 UTC,Sell,ETH,-1,EUR,€2500.0000000000000000,€2500.00,€2500.00,€0.00,Sold 1 ETH for 2500 EUR,,
tx007,2024-09-01 11:00:00 UTC,Send,ETH,-0.5,EUR,€2600.0000000000000000,-€1300.00,-€1300.00,€0.00,Sent 0.5 ETH to 0x1234567890abcdef,,
tx008,2024-09-15 08:00:00 UTC,Receive,ADA,0.08,EUR,€0.5000000000000000,€0.04000,€0.04000,€0.00,Received 0.08 ADA from Aggregate Rewards,Aggregate Rewards,
tx009,2024-10-01 13:00:00 UTC,Inflation Reward,ALGO,0.001,EUR,€0.7000000000000000,€0.00070,€0.00070,€0.00,,,
tx010,2024-10-15 10:00:00 UTC,Reward Income,ADA,0.06,EUR,€0.3500000000000000,€0.02100,€0.02100,€0.00,Received 0.06 ADA from Coinbase Rewards,,
tx011,2024-11-01 12:00:00 UTC,Receive,AMP,10,EUR,€0.0500000000000000,€0.50000,€0.50000,€0.00,Received 10 AMP from Coinbase Earn,Coinbase Earn,
tx012,2024-11-15 09:00:00 UTC,Convert,ADA,-0.5,EUR,€0.4200000000000000,€0.21000,€0.21000,€0.00,Converted 0.5 ADA to 0.0001 BTC,,
tx013,2024-12-01 14:00:00 UTC,Sell,BTC,-0.3,EUR,€52000.0000000000000000,€15600.00,€15600.00,€0.00,Sold 0.3 BTC for 15600 EUR,,
tx014,2024-12-15 10:00:00 UTC,Receive,FLR,1.5,EUR,€0.0300000000000000,€0.04500,€0.04500,€0.00,Received 1.5 FLR from Flare Airdrop,Flare Airdrop,
tx015,2024-12-30 23:30:00 UTC,Receive,ETH,0.5,EUR,€2700.0000000000000000,€1350.00,€1350.00,€0.00,Received 0.5 ETH from an external account,an external account,
tx016,2025-03-15 10:00:00 UTC,Retail Simple Price Improvement,EURC,0.01,EUR,€1.0000000000000000,€0.01000,€0.01000,€0.00,,,
tx017,2025-06-01 12:00:00 UTC,Retail Staking Transfer,ADA,100,EUR,€0.4000000000000000,€40.00,€40.00,€0.00,,,
tx018,2025-06-01 12:00:01 UTC,Retail Staking Transfer,ADA,-100,EUR,€0.4000000000000000,-€40.00,-€40.00,€0.00,,,
tx019,2025-06-15 14:00:00 UTC,Retail Unstaking Transfer,ADA,100,EUR,€0.4500000000000000,€45.00,€45.00,€0.00,,,
tx020,2025-06-15 14:00:01 UTC,Retail Unstaking Transfer,ADA,-100,EUR,€0.4500000000000000,-€45.00,-€45.00,€0.00,,,
tx021,2025-07-01 10:00:00 UTC,Withdrawal,EUR,-200,EUR,€1.00,€200.00,€200.00,€0.00,Withdrawal to bank,,
tx022,2025-09-01 10:00:00 UTC,Asset Migration,MATIC,-1000,EUR,€0.5000000000000000,-€500.00,-€500.00,€0.00,,,
tx023,2025-09-01 10:00:02 UTC,Asset Migration,POL,1000,EUR,€0.5000000000000000,€500.00,€500.00,€0.00,,,
tx024,2025-12-15 10:00:00 UTC,Buy,SOL,5,EUR,€100.0000000000000000,€500.00,€502.50,€2.5000000000000000,Bought 5 SOL for 502.50 EUR,,
tx025,2025-12-20 15:00:00 UTC,Sell,SOL,-3,EUR,€110.0000000000000000,€330.00,€327.00,-€3.000000000000000000,Sold 3 SOL for 327 EUR,,
